Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,AOV
B-25681,1096,658,7,Electronics,Electronic Games,COD,156.57142857142858
B-26055,5729,64,14,Furniture,Chairs,EMI,409.2142857142857
B-25955,2927,146,8,Furniture,Bookcases,EMI,365.875
B-26093,2847,712,8,Electronics,Printers,Credit Card,355.875
B-25602,2617,1151,4,Electronics,Phones,Credit Card,654.25
B-25881,2244,247,4,Clothing,Trousers,Credit Card,561.0
B-25696,275,-275,4,Clothing,Saree,COD,68.75
B-25687,387,-213,5,Clothing,Saree,UPI,77.4
B-25643,50,-44,2,Clothing,Hankerchief,UPI,25.0
B-25851,135,-54,5,Clothing,Kurti,COD,27.0
B-25703,231,-190,9,Clothing,Hankerchief,COD,25.666666666666668
B-25887,2125,-234,6,Electronics,Printers,EMI,354.1666666666667
B-25923,3873,-891,6,Electronics,Phones,Credit Card,645.5
B-25756,729,-492,5,Furniture,Bookcases,UPI,145.8
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,437.6
B-25655,6,-3,1,Clothing,Hankerchief,UPI,6.0
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,370.8
B-26095,6,1,1,Clothing,Kurti,UPI,6.0
B-25853,2093,721,5,Furniture,Chairs,Credit Card,418.6
B-25735,7,-1,2,Clothing,Skirt,UPI,3.5
B-25910,1622,-624,5,Furniture,Tables,Credit Card,324.4
B-25950,1622,95,5,Electronics,Printers,Credit Card,324.4
B-25744,373,254,6,Electronics,Printers,UPI,62.166666666666664
B-25845,82,-33,4,Clothing,Kurti,COD,20.5
B-26001,8,2,2,Clothing,Skirt,UPI,4.0
B-25830,1954,782,3,Electronics,Phones,Credit Card,651.3333333333334
B-25842,1543,370,8,Electronics,Printers,Credit Card,192.875
B-25778,1506,-266,6,Electronics,Printers,Credit Card,251.0
B-25686,1829,-56,6,Furniture,Tables,Credit Card,304.8333333333333
B-25754,9,-1,3,Clothing,Skirt,UPI,3.0
B-26048,1461,202,5,Furniture,Tables,EMI,292.2
B-25816,391,113,8,Clothing,Stole,COD,48.875
B-26022,1824,1303,8,Electronics,Phones,Credit Card,228.0
B-25883,16,-15,4,Clothing,Hankerchief,UPI,4.0
B-26003,1745,122,2,Furniture,Tables,Credit Card,872.5
B-26097,663,-212,5,Electronics,Printers,UPI,132.6
B-25710,10,-1,1,Clothing,Leggings,UPI,10.0
B-25797,1630,802,5,Furniture,Tables,EMI,326.0
B-25618,12,0,2,Clothing,Hankerchief,UPI,6.0
B-25723,12,-7,2,Clothing,Leggings,UPI,6.0
B-25755,1709,564,3,Clothing,Trousers,Credit Card,569.6666666666666
B-25788,12,3,1,Clothing,Stole,UPI,12.0
B-25681,1625,-77,3,Electronics,Phones,EMI,541.6666666666666
B-25991,13,5,2,Clothing,Hankerchief,UPI,6.5
B-25779,1361,980,3,Furniture,Tables,COD,453.6666666666667
B-25909,1622,-448,3,Electronics,Phones,EMI,540.6666666666666
B-25943,1547,340,6,Electronics,Accessories,EMI,257.8333333333333
B-25935,1657,460,4,Furniture,Chairs,Credit Card,414.25
B-25613,1603,0,9,Clothing,Saree,Credit Card,178.11111111111111
B-25729,1549,-439,4,Electronics,Phones,Credit Card,387.25
B-25772,1183,106,4,Electronics,Printers,EMI,295.75
B-25655,74,-123,8,Clothing,Skirt,UPI,9.25
B-25640,1499,239,13,Clothing,Saree,Credit Card,115.3076923076923
B-25810,1120,199,6,Clothing,Saree,EMI,186.66666666666666
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,15.0
B-26085,1487,624,3,Clothing,Trousers,Credit Card,495.6666666666667
B-25868,1118,206,2,Furniture,Tables,Credit Card,559.0
B-25714,11,-5,2,Clothing,Hankerchief,COD,5.5
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,15.0
B-25608,1364,1864,5,Furniture,Tables,Credit Card,272.8
B-26051,1337,147,7,Electronics,Printers,Credit Card,191.0
B-25900,15,2,1,Clothing,Leggings,Debit Card,15.0
B-25760,322,-193,5,Electronics,Printers,UPI,64.4
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,188.0
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,438.0
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,5.666666666666667
B-25967,17,2,2,Clothing,Skirt,Debit Card,8.5
B-25674,17,-12,5,Clothing,Skirt,Debit Card,3.4
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,436.0
B-25777,1076,-38,4,Electronics,Printers,Credit Card,269.0
B-26006,1301,573,5,Electronics,Accessories,Credit Card,260.2
B-25697,1300,-16,8,Electronics,Printers,Credit Card,162.5
B-25667,11,-2,4,Clothing,Hankerchief,COD,2.75
B-25836,1298,65,9,Electronics,Printers,EMI,144.22222222222223
B-25984,304,97,6,Clothing,Stole,UPI,50.666666666666664
B-25728,1055,264,4,Electronics,Printers,EMI,263.75
B-25757,17,-13,4,Clothing,Skirt,Debit Card,4.25
B-25957,147,73,3,Clothing,Stole,COD,49.0
B-26061,965,-68,3,Electronics,Printers,COD,321.6666666666667
B-25735,12,-2,3,Clothing,Hankerchief,COD,4.0
B-25616,14,-2,3,Clothing,Hankerchief,UPI,4.666666666666667
B-25666,934,-916,7,Electronics,Electronic Games,COD,133.42857142857142
B-25675,929,-93,9,Clothing,Saree,COD,103.22222222222223
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,9.0
B-25850,916,192,11,Electronics,Phones,COD,83.27272727272727
B-25693,76,-72,9,Clothing,Hankerchief,COD,8.444444444444445
B-25852,869,67,4,Furniture,Tables,COD,217.25
B-25860,112,24,3,Clothing,Kurti,COD,37.333333333333336
B-25853,39,16,6,Clothing,Skirt,UPI,6.5
B-25898,857,-274,2,Furniture,Tables,COD,428.5
B-26100,828,230,2,Furniture,Chairs,COD,414.0
B-25653,1279,-640,8,Electronics,Printers,EMI,159.875
B-25839,1250,486,7,Clothing,Saree,EMI,178.57142857142858
B-25651,823,-18,7,Furniture,Chairs,COD,117.57142857142857
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,128.55555555555554
B-25704,126,-63,3,Electronics,Accessories,UPI,42.0
B-25730,1145,-706,3,Electronics,Phones,Credit Card,381.6666666666667
B-26052,774,170,3,Electronics,Accessories,COD,258.0
B-25656,24,-1,2,Clothing,Hankerchief,COD,12.0
B-26033,774,170,3,Electronics,Accessories,COD,258.0
B-25850,93,-1,2,Clothing,Hankerchief,COD,46.5
B-25945,765,-36,3,Electronics,Electronic Games,COD,255.0
B-26086,762,101,6,Electronics,Printers,COD,127.0
B-25752,761,266,9,Electronics,Electronic Games,COD,84.55555555555556
B-26098,96,-48,5,Clothing,Leggings,UPI,19.2
B-26067,1137,-14,7,Electronics,Printers,EMI,162.42857142857142
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,9.0
B-25986,749,-307,7,Furniture,Furnishings,COD,107.0
B-26067,1120,199,6,Clothing,Saree,EMI,186.66666666666666
B-25953,744,119,6,Electronics,Printers,COD,124.0
B-25952,14,0,4,Clothing,Hankerchief,UPI,3.5
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,9.5
B-25650,512,-225,5,Clothing,Saree,COD,102.4
B-25970,742,198,2,Furniture,Bookcases,COD,371.0
B-26062,44,-40,3,Clothing,Stole,COD,14.666666666666666
B-25643,1061,-36,8,Furniture,Bookcases,EMI,132.625
B-25632,19,-2,2,Clothing,Leggings,Debit Card,9.5
B-25821,17,0,1,Clothing,Hankerchief,COD,17.0
B-25878,741,267,5,Furniture,Bookcases,COD,148.2
B-25752,735,-235,6,Electronics,Printers,COD,122.5
B-25750,19,-1,1,Clothing,Shirt,Debit Card,19.0
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,255.25
B-25787,556,-209,7,Clothing,Saree,COD,79.42857142857143
B-25808,63,-17,6,Clothing,Leggings,COD,10.5
B-25885,734,248,2,Furniture,Chairs,COD,367.0
B-25778,933,166,5,Clothing,Saree,Credit Card,186.6
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,3.3333333333333335
B-25747,877,395,2,Furniture,Bookcases,Credit Card,438.5
B-25878,719,303,6,Furniture,Chairs,COD,119.83333333333333
B-25603,12,1,2,Clothing,Hankerchief,COD,6.0
B-25691,714,56,4,Clothing,Saree,COD,178.5
B-25607,50,-15,4,Clothing,Leggings,COD,12.5
B-25708,709,-100,5,Electronics,Phones,COD,141.8
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,7.0
B-25831,693,254,6,Clothing,Saree,COD,115.5
B-25850,24,1,4,Clothing,Hankerchief,COD,6.0
B-25670,24,1,2,Clothing,Hankerchief,UPI,12.0
B-25852,24,1,2,Clothing,Hankerchief,COD,12.0
B-26029,21,10,1,Clothing,T-shirt,Debit Card,21.0
B-25959,681,259,4,Furniture,Chairs,COD,170.25
B-25676,674,-187,2,Furniture,Tables,COD,337.0
B-26097,671,-309,5,Electronics,Electronic Games,COD,134.2
B-25888,646,-213,3,Electronics,Electronic Games,COD,215.33333333333334
B-25911,40,15,1,Clothing,Kurti,COD,40.0
B-25662,24,-2,2,Clothing,T-shirt,COD,12.0
B-25950,644,167,2,Electronics,Printers,COD,322.0
B-25847,643,225,2,Electronics,Printers,COD,321.5
B-25796,632,-316,6,Clothing,Saree,COD,105.33333333333333
B-25693,632,316,6,Clothing,Saree,COD,105.33333333333333
B-25993,610,208,3,Electronics,Printers,COD,203.33333333333334
B-26052,78,-28,6,Clothing,Kurti,UPI,13.0
B-25930,595,119,4,Furniture,Bookcases,COD,148.75
B-25785,595,292,3,Clothing,Saree,COD,198.33333333333334
B-26093,852,51,5,Furniture,Bookcases,Credit Card,170.4
B-26053,594,89,3,Furniture,Bookcases,COD,198.0
B-26019,585,175,13,Clothing,T-shirt,COD,45.0
B-26070,582,262,5,Furniture,Furnishings,COD,116.4
B-25870,845,84,7,Clothing,Saree,Credit Card,120.71428571428571
B-25855,829,19,4,Electronics,Printers,Credit Card,207.25
B-25602,561,212,3,Clothing,Saree,COD,187.0
B-25728,771,-424,2,Electronics,Phones,Credit Card,385.5
B-25803,765,8,6,Clothing,Saree,EMI,127.5
B-25996,31,2,2,Clothing,Hankerchief,COD,15.5
B-26078,557,-111,2,Electronics,Electronic Games,COD,278.5
B-25803,757,371,2,Electronics,Printers,Credit Card,378.5
B-25682,545,-73,11,Electronics,Phones,COD,49.54545454545455
B-25749,1052,-82,3,Furniture,Bookcases,UPI,350.6666666666667
B-25962,544,-152,3,Furniture,Bookcases,COD,181.33333333333334
B-25899,22,9,2,Clothing,Leggings,Debit Card,11.0
B-25845,757,371,2,Electronics,Printers,Credit Card,378.5
B-25951,742,198,2,Furniture,Bookcases,Credit Card,371.0
B-25828,537,107,3,Clothing,Saree,COD,179.0
B-25803,536,91,1,Clothing,Trousers,COD,536.0
B-25656,6,3,1,Clothing,Hankerchief,COD,6.0
B-25681,523,204,7,Clothing,Trousers,COD,74.71428571428571
B-25658,27,9,2,Clothing,T-shirt,UPI,13.5
B-25698,516,392,8,Furniture,Chairs,COD,64.5
B-25832,504,116,3,Furniture,Bookcases,COD,168.0
B-25886,502,84,4,Electronics,Phones,COD,125.5
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,122.33333333333333
B-25873,42,12,2,Clothing,Kurti,COD,21.0
B-25858,29,11,4,Clothing,Skirt,COD,7.25
B-25867,240,12,6,Clothing,Kurti,UPI,40.0
B-25633,496,-79,2,Clothing,Trousers,COD,248.0
B-25609,485,29,4,Electronics,Electronic Games,COD,121.25
B-25896,31,-11,3,Clothing,Skirt,UPI,10.333333333333334
B-26000,676,151,3,Electronics,Printers,Credit Card,225.33333333333334
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,11.5
B-25940,13,3,2,Clothing,Hankerchief,COD,6.5
B-26087,180,0,8,Clothing,Stole,COD,22.5
B-26055,671,114,9,Electronics,Phones,Credit Card,74.55555555555556
B-25980,22,11,3,Clothing,Kurti,COD,7.333333333333333
B-25653,668,-31,3,Electronics,Printers,Credit Card,222.66666666666666
B-26052,145,0,3,Clothing,Saree,UPI,48.333333333333336
B-25877,24,8,2,Clothing,Skirt,Debit Card,12.0
B-25608,476,0,3,Furniture,Chairs,COD,158.66666666666666
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,4.8
B-25881,37,3,3,Clothing,Hankerchief,COD,12.333333333333334
B-25905,152,50,6,Clothing,Stole,UPI,25.333333333333332
B-25818,32,11,2,Clothing,Leggings,UPI,16.0
B-25835,52,11,5,Clothing,Leggings,COD,10.4
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,8.0
B-25730,473,42,4,Furniture,Chairs,COD,118.25
B-25837,263,50,5,Clothing,Stole,COD,52.6
B-25893,61,11,3,Clothing,Kurti,COD,20.333333333333332
B-25689,469,-459,3,Electronics,Electronic Games,COD,156.33333333333334
B-26028,1272,547,2,Electronics,Phones,COD,636.0
B-26081,169,0,3,Electronics,Accessories,COD,56.333333333333336
B-25903,25,11,3,Clothing,Leggings,Debit Card,8.333333333333334
B-25651,457,-41,4,Clothing,Saree,COD,114.25
B-25903,455,77,8,Electronics,Accessories,COD,56.875
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,12.5
B-25654,450,-90,3,Electronics,Printers,COD,150.0
B-25720,30,-35,1,Furniture,Chairs,COD,30.0
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,329.5
B-25798,448,148,2,Electronics,Printers,COD,224.0
B-25961,446,53,3,Electronics,Printers,COD,148.66666666666666
B-25701,98,-45,2,Furniture,Chairs,UPI,49.0
B-26055,443,11,1,Clothing,Saree,COD,443.0
B-25653,427,-50,7,Electronics,Phones,COD,61.0
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,328.0
B-26056,424,161,2,Clothing,Saree,COD,212.0
B-26061,27,8,2,Clothing,T-shirt,Debit Card,13.5
B-25602,424,-272,5,Electronics,Phones,COD,84.8
B-26016,202,4,4,Clothing,Hankerchief,COD,50.5
B-25873,1275,357,2,Electronics,Phones,UPI,637.5
B-25761,418,70,7,Electronics,Phones,COD,59.714285714285715
B-25819,417,49,3,Electronics,Electronic Games,COD,139.0
B-25853,199,48,4,Clothing,Stole,UPI,49.75
B-25662,385,-77,11,Furniture,Furnishings,UPI,35.0
B-25993,414,199,3,Electronics,Phones,COD,138.0
B-25703,97,-45,4,Clothing,Saree,COD,24.25
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,108.0
B-25678,27,-25,2,Clothing,Shirt,Debit Card,13.5
B-25925,27,12,1,Clothing,Stole,Debit Card,27.0
B-25977,27,1,1,Clothing,Stole,UPI,27.0
B-25797,413,-314,9,Furniture,Chairs,COD,45.888888888888886
B-26067,53,2,4,Clothing,Hankerchief,COD,13.25
B-25810,29,8,5,Clothing,Hankerchief,UPI,5.8
B-25648,30,13,1,Clothing,T-shirt,UPI,30.0
B-25933,412,412,6,Clothing,Saree,COD,68.66666666666667
B-25942,646,-23,2,Electronics,Printers,Credit Card,323.0
B-25656,30,-5,5,Clothing,Stole,UPI,6.0
B-26067,618,27,4,Furniture,Bookcases,Credit Card,154.5
B-25673,143,-124,5,Clothing,Saree,UPI,28.6
B-25797,31,1,2,Clothing,Hankerchief,UPI,15.5
B-26098,409,86,3,Clothing,Saree,COD,136.33333333333334
B-25656,406,126,2,Clothing,Saree,COD,203.0
B-25791,565,66,7,Clothing,Saree,Credit Card,80.71428571428571
B-26053,85,2,6,Clothing,Stole,COD,14.166666666666666
B-25983,561,118,5,Furniture,Bookcases,Credit Card,112.2
B-25743,503,-56,2,Clothing,Trousers,COD,251.5
B-25867,31,14,3,Clothing,Stole,UPI,10.333333333333334
B-25973,398,111,8,Clothing,Hankerchief,COD,49.75
B-25895,388,93,2,Furniture,Bookcases,COD,194.0
B-26003,498,-116,4,Clothing,Saree,UPI,124.5
B-25717,561,212,3,Clothing,Saree,Credit Card,187.0
B-26064,61,3,4,Clothing,Hankerchief,COD,15.25
B-25630,34,-22,4,Clothing,T-shirt,COD,8.5
B-26050,32,6,3,Clothing,Shirt,UPI,10.666666666666666
B-25786,623,-192,3,Furniture,Tables,UPI,207.66666666666666
B-26035,520,151,3,Electronics,Phones,Credit Card,173.33333333333334
B-25693,32,-16,6,Clothing,Saree,UPI,5.333333333333333
B-25703,32,-5,5,Clothing,Hankerchief,UPI,6.4
B-25966,510,234,6,Electronics,Electronic Games,EMI,85.0
B-26060,382,68,3,Clothing,Saree,COD,127.33333333333333
B-25898,33,13,3,Clothing,Leggings,UPI,11.0
B-25686,381,-13,2,Clothing,Saree,COD,190.5
B-26051,490,88,2,Electronics,Accessories,EMI,245.0
B-25854,381,144,2,Clothing,Saree,COD,190.5
B-26050,487,143,4,Electronics,Phones,EMI,121.75
B-25961,366,84,3,Furniture,Bookcases,COD,122.0
B-25701,33,-29,3,Clothing,Shirt,UPI,11.0
B-25970,365,107,3,Electronics,Phones,COD,121.66666666666667
B-25933,207,-100,2,Clothing,Saree,UPI,103.5
B-26081,359,-338,5,Furniture,Bookcases,COD,71.8
B-25650,351,-47,8,Electronics,Phones,COD,43.875
B-25850,485,199,4,Clothing,Saree,EMI,121.25
B-25643,37,-23,4,Clothing,Shirt,UPI,9.25
B-26100,34,10,2,Clothing,T-shirt,Debit Card,17.0
B-25964,346,108,3,Furniture,Chairs,COD,115.33333333333333
B-25676,342,-103,4,Electronics,Electronic Games,COD,85.5
B-25628,35,-8,2,Furniture,Furnishings,Debit Card,17.5
B-25891,121,41,4,Clothing,Stole,UPI,30.25
B-25903,336,57,2,Electronics,Phones,COD,168.0
B-25851,336,71,3,Furniture,Bookcases,COD,112.0
B-26089,27,4,1,Clothing,Hankerchief,COD,27.0
B-25996,333,50,2,Electronics,Phones,COD,166.5
B-25881,36,7,3,Clothing,Leggings,Debit Card,12.0
B-25621,333,-15,3,Electronics,Phones,COD,111.0
B-25727,327,114,4,Clothing,Trousers,COD,81.75
B-25843,18,6,3,Clothing,Hankerchief,UPI,6.0
B-26050,325,32,7,Clothing,T-shirt,COD,46.42857142857143
B-25741,482,-6,7,Electronics,Electronic Games,EMI,68.85714285714286
B-25756,465,-33,4,Electronics,Phones,EMI,116.25
B-25787,40,-12,3,Clothing,Shirt,COD,13.333333333333334
B-25603,107,36,6,Clothing,Stole,COD,17.833333333333332
B-25655,312,-312,7,Furniture,Chairs,COD,44.57142857142857
B-26096,451,25,3,Electronics,Phones,EMI,150.33333333333334
B-25962,312,62,1,Electronics,Electronic Games,COD,312.0
B-26007,311,72,2,Furniture,Bookcases,COD,155.5
B-26088,11,5,2,Clothing,Hankerchief,UPI,5.5
B-25673,37,-5,3,Clothing,T-shirt,Debit Card,12.333333333333334
B-25664,444,-200,4,Electronics,Phones,EMI,111.0
B-25642,434,26,11,Clothing,Shirt,Credit Card,39.45454545454545
B-25987,299,0,6,Clothing,Stole,COD,49.833333333333336
B-25903,37,17,3,Clothing,Hankerchief,Debit Card,12.333333333333334
B-25770,299,113,2,Furniture,Bookcases,COD,149.5
B-25840,298,74,2,Furniture,Bookcases,COD,149.0
B-25846,94,7,7,Clothing,Leggings,UPI,13.428571428571429
B-25745,296,225,11,Clothing,Saree,COD,26.90909090909091
B-26073,37,17,3,Clothing,Hankerchief,Debit Card,12.333333333333334
B-26030,291,93,2,Electronics,Printers,COD,145.5
B-25678,327,-39,1,Electronics,Phones,COD,327.0
B-26035,291,119,11,Clothing,Saree,COD,26.454545454545453
B-25896,287,-66,6,Clothing,Kurti,COD,47.833333333333336
B-25989,42,15,1,Electronics,Accessories,UPI,42.0
B-26016,429,61,3,Electronics,Electronic Games,Credit Card,143.0
B-26009,285,128,2,Electronics,Printers,COD,142.5
B-25915,277,3,1,Electronics,Electronic Games,COD,277.0
B-25845,274,-7,4,Electronics,Phones,COD,68.5
B-25645,273,-87,4,Electronics,Phones,COD,68.25
B-25803,269,91,1,Electronics,Electronic Games,COD,269.0
B-26030,11,5,1,Clothing,Skirt,COD,11.0
B-25955,39,2,2,Clothing,Saree,Debit Card,19.5
B-26096,264,-26,3,Clothing,Trousers,COD,88.0
B-25635,40,16,3,Clothing,Hankerchief,Debit Card,13.333333333333334
B-26038,41,19,2,Clothing,T-shirt,Debit Card,20.5
B-25791,253,-63,2,Clothing,Saree,UPI,126.5
B-26014,406,97,7,Furniture,Chairs,Credit Card,58.0
B-25751,32,7,3,Clothing,Hankerchief,COD,10.666666666666666
B-25962,260,68,2,Electronics,Printers,COD,130.0
B-26025,41,19,5,Clothing,Hankerchief,Debit Card,8.2
B-26048,401,13,6,Furniture,Chairs,Credit Card,66.83333333333333
B-25635,382,30,3,Clothing,Saree,Credit Card,127.33333333333333
B-25981,867,251,5,Electronics,Phones,COD,173.4
B-25610,43,0,3,Clothing,Saree,Debit Card,14.333333333333334
B-25733,43,-43,7,Clothing,Stole,Debit Card,6.142857142857143
B-25977,74,29,3,Clothing,Stole,COD,24.666666666666668
B-25655,44,-26,3,Clothing,Hankerchief,Debit Card,14.666666666666666
B-25612,259,-55,2,Furniture,Chairs,COD,129.5
B-25608,257,23,5,Clothing,Hankerchief,COD,51.4
B-25752,76,27,5,Clothing,Stole,COD,15.2
B-25700,44,-32,3,Clothing,Stole,Debit Card,14.666666666666666
B-25856,257,3,2,Clothing,Saree,COD,128.5
B-26026,255,76,9,Clothing,Hankerchief,COD,28.333333333333332
B-25861,44,14,3,Clothing,Hankerchief,Debit Card,14.666666666666666
B-25673,45,-2,4,Clothing,Shirt,COD,11.25
B-25681,44,-3,1,Clothing,Saree,Debit Card,44.0
B-26051,382,119,2,Clothing,Saree,Credit Card,191.0
B-25951,250,100,3,Clothing,Trousers,COD,83.33333333333333
B-25799,45,-15,2,Furniture,Chairs,COD,22.5
B-26053,246,61,2,Furniture,Bookcases,COD,123.0
B-26030,50,25,5,Clothing,Stole,COD,10.0
B-26054,246,98,5,Clothing,Hankerchief,COD,49.2
B-25696,44,99,3,Clothing,Kurti,Debit Card,14.666666666666666
B-25660,245,-78,3,Clothing,Saree,COD,81.66666666666667
B-25858,245,30,2,Clothing,Saree,COD,122.5
B-26045,376,0,7,Clothing,Stole,Credit Card,53.714285714285715
B-25850,45,1,3,Clothing,T-shirt,Debit Card,15.0
B-25781,45,-28,2,Clothing,Stole,Debit Card,22.5
B-25918,244,-122,5,Furniture,Furnishings,COD,48.8
