Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,AOV
B-25971,244,83,2,Furniture,Bookcases,COD,122.0
B-25870,10,4,1,Clothing,Kurti,UPI,10.0
B-25770,375,180,3,Furniture,Bookcases,Credit Card,125.0
B-25757,46,14,5,Clothing,Skirt,Debit Card,9.2
B-25699,49,-31,2,Clothing,Stole,UPI,24.5
B-25776,47,-20,2,Clothing,Kurti,Debit Card,23.5
B-25893,355,-114,7,Clothing,Stole,Credit Card,50.714285714285715
B-25985,32,8,5,Clothing,Hankerchief,UPI,6.4
B-25681,243,-14,2,Furniture,Chairs,COD,121.5
B-26063,241,-77,4,Electronics,Electronic Games,COD,60.25
B-26032,47,15,5,Clothing,Saree,Debit Card,9.4
B-26001,50,-10,6,Clothing,Skirt,Debit Card,8.333333333333334
B-26056,15,6,2,Clothing,Hankerchief,COD,7.5
B-25850,148,24,3,Clothing,Stole,COD,49.333333333333336
B-25767,299,-28,3,Electronics,Electronic Games,UPI,99.66666666666667
B-25693,68,-30,1,Electronics,Phones,UPI,68.0
B-25850,52,18,5,Clothing,Leggings,Debit Card,10.4
B-25796,239,-162,5,Furniture,Chairs,COD,47.8
B-26053,27,6,3,Clothing,Skirt,COD,9.0
B-25650,238,20,2,Clothing,Saree,COD,119.0
B-25961,48,16,3,Clothing,Shirt,COD,16.0
B-26023,66,22,3,Clothing,Stole,UPI,22.0
B-25809,53,24,1,Clothing,Hankerchief,Debit Card,53.0
B-25621,233,-10,5,Electronics,Electronic Games,COD,46.6
B-25854,53,-2,3,Clothing,Saree,Debit Card,17.666666666666668
B-26057,54,8,4,Clothing,T-shirt,Debit Card,13.5
B-25688,352,-345,5,Clothing,Saree,Credit Card,70.4
B-25885,349,0,7,Clothing,Stole,Credit Card,49.857142857142854
B-25753,341,-85,6,Clothing,Trousers,Credit Card,56.833333333333336
B-25981,54,12,3,Clothing,Saree,Debit Card,18.0
B-26055,57,7,2,Clothing,Shirt,UPI,28.5
B-25714,340,20,7,Clothing,Shirt,Credit Card,48.57142857142857
B-26055,227,48,5,Clothing,Stole,COD,45.4
B-25989,330,81,1,Furniture,Bookcases,Credit Card,330.0
B-25710,216,-38,6,Furniture,Furnishings,UPI,36.0
B-25773,224,-143,3,Furniture,Chairs,COD,74.66666666666667
B-25661,55,-33,2,Furniture,Chairs,Debit Card,27.5
B-26021,49,21,1,Clothing,Stole,UPI,49.0
B-26057,224,87,3,Clothing,Trousers,COD,74.66666666666667
B-25858,223,27,2,Furniture,Bookcases,COD,111.5
B-25857,324,39,8,Electronics,Accessories,Credit Card,40.5
B-25656,56,18,2,Clothing,Hankerchief,Debit Card,28.0
B-25999,223,62,7,Clothing,Shirt,COD,31.857142857142858
B-25856,10,2,2,Clothing,Skirt,COD,5.0
B-25926,57,6,5,Clothing,Leggings,Debit Card,11.4
B-25728,322,-113,4,Clothing,Saree,Credit Card,80.5
B-26076,219,4,2,Clothing,Saree,COD,109.5
B-25913,103,21,7,Clothing,Stole,UPI,14.714285714285714
B-25703,47,-27,4,Clothing,Saree,COD,11.75
B-25858,219,0,1,Clothing,Saree,COD,219.0
B-25727,57,-48,6,Clothing,Leggings,Debit Card,9.5
B-26020,319,102,6,Electronics,Accessories,Credit Card,53.166666666666664
B-26003,315,-8,3,Furniture,Chairs,Credit Card,105.0
B-25925,314,-41,3,Electronics,Electronic Games,Credit Card,104.66666666666667
B-26087,311,40,1,Electronics,Electronic Games,EMI,311.0
B-25810,307,74,3,Electronics,Accessories,EMI,102.33333333333333
B-25858,294,109,7,Electronics,Accessories,EMI,42.0
B-25861,216,-83,3,Electronics,Electronic Games,COD,72.0
B-25661,58,-42,2,Furniture,Chairs,Debit Card,29.0
B-25943,48,20,4,Clothing,Stole,UPI,12.0
B-25955,54,14,3,Clothing,T-shirt,UPI,18.0
B-26051,216,50,4,Clothing,Stole,COD,54.0
B-25999,215,-30,2,Clothing,Saree,COD,107.5
B-26083,43,8,3,Clothing,Leggings,COD,14.333333333333334
B-25950,136,-33,5,Clothing,Saree,COD,27.2
B-25625,59,-30,3,Clothing,Leggings,Debit Card,19.666666666666668
B-26055,213,4,14,Clothing,Shirt,COD,15.214285714285714
B-26023,59,21,2,Clothing,Stole,Debit Card,29.5
B-26010,55,3,3,Clothing,T-shirt,COD,18.333333333333332
B-25955,294,62,9,Clothing,T-shirt,EMI,32.666666666666664
B-25900,210,62,2,Electronics,Phones,COD,105.0
B-26089,59,24,6,Clothing,Kurti,Debit Card,9.833333333333334
B-25655,396,-31,9,Clothing,Saree,COD,44.0
B-25979,284,45,2,Furniture,Bookcases,EMI,142.0
B-26002,276,52,5,Clothing,Saree,EMI,55.2
B-25635,23,2,2,Clothing,Skirt,UPI,11.5
B-26084,209,-63,4,Electronics,Electronic Games,COD,52.25
B-25998,50,-28,5,Furniture,Furnishings,COD,10.0
B-25872,57,27,2,Clothing,Shirt,COD,28.5
B-25795,276,-21,2,Electronics,Phones,EMI,138.0
B-25902,268,6,2,Furniture,Bookcases,UPI,134.0
B-25650,269,111,3,Clothing,Trousers,EMI,89.66666666666667
B-25957,209,2,1,Clothing,Saree,COD,209.0
B-25793,60,-12,4,Clothing,Hankerchief,Debit Card,15.0
B-25654,269,-86,2,Electronics,Electronic Games,EMI,134.5
B-25750,208,-25,2,Clothing,Saree,COD,104.0
B-25835,27,2,2,Clothing,Leggings,UPI,13.5
B-25652,206,-206,3,Clothing,Saree,COD,68.66666666666667
B-26018,61,8,4,Clothing,Hankerchief,Debit Card,15.25
B-25750,212,-24,2,Furniture,Chairs,COD,106.0
B-25840,262,64,6,Clothing,Saree,EMI,43.666666666666664
B-25756,204,276,3,Furniture,Bookcases,COD,68.0
B-25777,59,-46,7,Clothing,T-shirt,UPI,8.428571428571429
B-25750,199,-18,2,Clothing,Saree,COD,99.5
B-25823,59,6,1,Electronics,Accessories,UPI,59.0
B-26096,45,9,3,Clothing,Leggings,UPI,15.0
B-25757,211,19,8,Clothing,Stole,COD,26.375
B-25698,65,-16,2,Electronics,Phones,Debit Card,32.5
B-25710,25,0,4,Clothing,Skirt,UPI,6.25
B-25994,196,-7,5,Electronics,Phones,COD,39.2
B-25950,261,13,6,Clothing,Shirt,Credit Card,43.5
B-25653,195,-117,5,Electronics,Phones,COD,39.0
B-25785,192,-146,3,Clothing,Saree,COD,64.0
B-25863,189,87,7,Clothing,Stole,COD,27.0
B-25959,32,2,2,Clothing,Kurti,UPI,16.0
B-25991,188,13,7,Clothing,Shirt,COD,26.857142857142858
B-25680,73,-25,3,Clothing,Saree,COD,24.333333333333332
B-25910,259,47,5,Clothing,Hankerchief,Credit Card,51.8
B-25737,187,-15,3,Clothing,Trousers,COD,62.333333333333336
B-25853,26,11,2,Clothing,Hankerchief,UPI,13.0
B-26097,185,-26,6,Furniture,Chairs,COD,30.833333333333332
B-25875,248,8,2,Clothing,Saree,Credit Card,124.0
B-26031,67,9,4,Clothing,Leggings,Debit Card,16.75
B-25773,248,-70,3,Furniture,Chairs,Credit Card,82.66666666666667
B-25840,246,61,2,Furniture,Bookcases,Credit Card,123.0
B-25908,179,-25,5,Clothing,Kurti,COD,35.8
B-26041,176,-28,5,Furniture,Furnishings,COD,35.2
B-26010,176,-13,5,Furniture,Furnishings,COD,35.2
B-25640,68,-62,2,Clothing,Trousers,Debit Card,34.0
B-25794,176,37,6,Electronics,Accessories,COD,29.333333333333332
B-25987,88,11,7,Clothing,Hankerchief,UPI,12.571428571428571
B-25615,68,20,5,Clothing,Hankerchief,Debit Card,13.6
B-25997,231,99,2,Electronics,Electronic Games,Credit Card,115.5
B-25981,62,8,2,Clothing,T-shirt,UPI,31.0
B-25791,175,77,3,Clothing,Saree,COD,58.333333333333336
B-25986,71,4,5,Clothing,Leggings,Debit Card,14.2
B-25652,174,-70,3,Electronics,Accessories,COD,58.0
B-25952,173,69,3,Furniture,Chairs,COD,57.666666666666664
B-25898,171,2,2,Electronics,Electronic Games,COD,85.5
B-25785,268,-25,3,Clothing,Saree,COD,89.33333333333333
B-25990,71,32,3,Clothing,Saree,Debit Card,23.666666666666668
B-26091,29,10,4,Clothing,Hankerchief,UPI,7.25
B-25604,65,17,2,Clothing,T-shirt,UPI,32.5
B-25754,72,-46,7,Clothing,Kurti,Debit Card,10.285714285714286
B-25724,168,-51,2,Furniture,Bookcases,COD,84.0
B-25757,165,30,3,Clothing,Stole,COD,55.0
B-25767,74,-59,2,Electronics,Accessories,Debit Card,37.0
B-25886,89,17,2,Clothing,Stole,UPI,44.5
B-25621,228,63,3,Electronics,Electronic Games,Credit Card,76.0
B-25967,119,-24,4,Furniture,Furnishings,COD,29.75
B-25691,75,-25,3,Clothing,Stole,UPI,25.0
B-25953,67,20,4,Clothing,T-shirt,UPI,16.75
B-25651,7,0,1,Clothing,Leggings,COD,7.0
B-25828,222,35,5,Clothing,Saree,Credit Card,44.4
B-25628,219,-9,4,Clothing,Saree,Credit Card,54.75
B-25703,42,-23,2,Furniture,Furnishings,UPI,21.0
B-25929,216,-135,3,Furniture,Chairs,Credit Card,72.0
B-25748,47,-21,2,Electronics,Electronic Games,COD,23.5
B-25610,68,-55,5,Electronics,Accessories,UPI,13.6
B-25903,74,33,2,Clothing,Shirt,Debit Card,37.0
B-25878,165,46,3,Furniture,Furnishings,COD,55.0
B-26056,101,11,2,Clothing,Hankerchief,UPI,50.5
B-26004,162,73,2,Electronics,Electronic Games,COD,81.0
B-25699,20,-22,1,Furniture,Furnishings,UPI,20.0
B-26053,162,55,3,Clothing,Stole,COD,54.0
B-25654,229,-23,2,Clothing,Saree,UPI,114.5
B-25954,27,0,2,Clothing,Leggings,COD,13.5
B-25910,685,7,7,Clothing,Trousers,UPI,97.85714285714286
B-26064,75,2,5,Clothing,Leggings,Debit Card,15.0
B-25983,161,-229,8,Furniture,Furnishings,COD,20.125
B-26002,71,19,3,Clothing,T-shirt,COD,23.666666666666668
B-25650,211,-105,2,Clothing,Saree,Credit Card,105.5
B-26043,79,5,6,Clothing,Hankerchief,Debit Card,13.166666666666666
B-25657,32,-22,5,Clothing,Saree,UPI,6.4
B-25838,161,40,3,Clothing,Stole,COD,53.666666666666664
B-25651,159,4,1,Clothing,Saree,COD,159.0
B-25808,210,-50,4,Clothing,Hankerchief,Credit Card,52.5
B-25973,79,39,2,Clothing,Shirt,Debit Card,39.5
B-25698,207,153,3,Clothing,Saree,Credit Card,69.0
B-25818,36,0,4,Clothing,Kurti,COD,9.0
B-26061,206,12,1,Electronics,Printers,Credit Card,206.0
B-25878,46,0,4,Clothing,Leggings,COD,11.5
B-26054,156,23,3,Clothing,Stole,COD,52.0
B-25809,154,54,3,Clothing,Hankerchief,COD,51.333333333333336
B-26042,36,15,3,Clothing,Stole,UPI,12.0
B-26008,206,51,4,Clothing,Hankerchief,Credit Card,51.5
B-25927,200,7,4,Electronics,Electronic Games,Credit Card,50.0
B-26008,199,-1,1,Clothing,Saree,Credit Card,199.0
B-25753,154,22,7,Clothing,T-shirt,COD,22.0
B-25948,152,23,3,Furniture,Furnishings,COD,50.666666666666664
B-26094,152,50,6,Clothing,Stole,COD,25.333333333333332
B-25654,122,-21,3,Furniture,Furnishings,UPI,40.666666666666664
B-25854,149,48,6,Clothing,Stole,COD,24.833333333333332
B-25623,149,-87,4,Clothing,Saree,COD,37.25
B-25985,197,20,4,Clothing,Kurti,Credit Card,49.25
B-25723,76,-54,3,Electronics,Electronic Games,COD,25.333333333333332
B-25751,221,-15,2,Electronics,Electronic Games,COD,110.5
B-26050,79,32,3,Clothing,Saree,Debit Card,26.333333333333332
B-25800,45,12,7,Clothing,Hankerchief,UPI,6.428571428571429
B-25673,149,-1,1,Clothing,Saree,COD,149.0
B-26002,80,22,3,Clothing,Stole,Debit Card,26.666666666666668
B-26009,195,12,9,Clothing,Shirt,Credit Card,21.666666666666668
B-25754,19,0,3,Clothing,Skirt,UPI,6.333333333333333
B-25953,81,41,3,Clothing,Stole,Debit Card,27.0
B-26039,83,34,5,Clothing,Shirt,Debit Card,16.6
B-26001,149,17,4,Furniture,Furnishings,COD,37.25
B-25620,193,46,1,Electronics,Printers,Credit Card,193.0
B-26051,85,24,10,Clothing,Hankerchief,Debit Card,8.5
B-25673,44,-17,5,Clothing,Saree,UPI,8.8
B-25721,149,-40,2,Electronics,Phones,COD,74.5
B-25764,26,0,2,Clothing,Kurti,COD,13.0
B-25645,86,0,4,Clothing,T-shirt,Debit Card,21.5
B-26066,86,22,2,Clothing,Saree,Debit Card,43.0
B-26003,79,16,3,Clothing,T-shirt,COD,26.333333333333332
B-25712,193,-275,3,Electronics,Phones,Credit Card,64.33333333333333
B-25796,148,0,3,Clothing,Saree,COD,49.333333333333336
B-25738,70,-14,2,Furniture,Furnishings,UPI,35.0
B-25771,148,59,3,Clothing,Hankerchief,COD,49.333333333333336
B-25950,190,19,9,Furniture,Furnishings,Credit Card,21.11111111111111
B-26038,52,14,2,Clothing,Stole,COD,26.0
B-26004,147,44,3,Clothing,Saree,COD,49.0
B-25896,190,68,8,Clothing,T-shirt,Credit Card,23.75
B-25601,80,-56,4,Electronics,Electronic Games,UPI,20.0
B-25952,147,48,3,Clothing,Saree,COD,49.0
B-25873,66,12,3,Clothing,Stole,COD,22.0
B-25844,86,8,2,Clothing,Saree,Debit Card,43.0
B-26054,88,19,2,Clothing,Shirt,Debit Card,44.0
B-25953,188,-193,2,Electronics,Electronic Games,Credit Card,94.0
B-25951,89,29,2,Clothing,Stole,UPI,44.5
B-26065,146,19,5,Clothing,Stole,COD,29.2
B-26033,143,32,1,Furniture,Bookcases,COD,143.0
B-25781,25,-1,4,Clothing,Kurti,COD,6.25
B-26043,30,12,3,Clothing,Skirt,UPI,10.0
B-25787,140,-58,4,Furniture,Furnishings,COD,35.0
B-25664,83,-48,1,Furniture,Bookcases,UPI,83.0
B-25825,140,6,5,Clothing,Saree,COD,28.0
B-25818,28,14,4,Clothing,Hankerchief,COD,7.0
B-25765,139,14,3,Clothing,Stole,COD,46.333333333333336
B-25853,30,14,3,Clothing,Hankerchief,UPI,10.0
B-26030,89,36,3,Clothing,Shirt,UPI,29.666666666666668
B-25730,187,30,4,Electronics,Accessories,Credit Card,46.75
B-26054,139,21,3,Electronics,Accessories,COD,46.333333333333336
B-25773,437,-14,2,Clothing,Saree,UPI,218.5
B-25717,138,-3,5,Clothing,Saree,COD,27.6
B-26010,85,13,2,Clothing,Shirt,UPI,42.5
B-25893,83,12,3,Clothing,Stole,UPI,27.666666666666668
B-26076,91,22,2,Clothing,Stole,UPI,45.5
B-25803,137,5,5,Clothing,Shirt,COD,27.4
B-25709,33,-12,7,Clothing,Saree,UPI,4.714285714285714
B-25755,134,-34,2,Furniture,Chairs,COD,67.0
B-25684,134,42,2,Furniture,Chairs,COD,67.0
B-25739,133,-56,2,Furniture,Chairs,COD,66.5
B-26081,93,-84,3,Clothing,Saree,UPI,31.0
B-25662,86,-21,1,Electronics,Electronic Games,UPI,86.0
B-25845,132,54,5,Clothing,Stole,COD,26.4
B-26085,132,-10,3,Clothing,Saree,COD,44.0
B-25745,132,-79,5,Furniture,Furnishings,COD,26.4
B-25999,93,-65,4,Clothing,Stole,UPI,23.25
B-26082,95,5,2,Clothing,Stole,UPI,47.5
B-26097,97,12,2,Clothing,Hankerchief,UPI,48.5
B-25731,131,-154,8,Furniture,Furnishings,COD,16.375
B-25625,97,29,2,Clothing,Hankerchief,UPI,48.5
B-25853,128,4,3,Clothing,Saree,COD,42.666666666666664
B-25703,186,241,9,Clothing,Shirt,Credit Card,20.666666666666668
B-26003,128,47,4,Clothing,Hankerchief,COD,32.0
B-25803,185,48,4,Clothing,Stole,Credit Card,46.25
B-25719,29,10,2,Clothing,Stole,COD,14.5
B-25883,127,29,3,Furniture,Furnishings,COD,42.333333333333336
B-25891,97,36,7,Clothing,Hankerchief,UPI,13.857142857142858
B-25821,125,0,3,Electronics,Accessories,COD,41.666666666666664
B-25646,299,-8,2,Clothing,Saree,COD,149.5
B-25874,124,54,5,Clothing,T-shirt,COD,24.8
B-25717,90,17,3,Clothing,Shirt,COD,30.0
B-26073,122,11,4,Clothing,Hankerchief,COD,30.5
B-25800,122,-66,9,Electronics,Accessories,COD,13.555555555555555
B-25991,90,30,2,Furniture,Chairs,UPI,45.0
B-25638,182,-11,3,Furniture,Bookcases,Credit Card,60.666666666666664
B-26021,122,59,7,Furniture,Furnishings,COD,17.428571428571427
B-25882,121,19,4,Clothing,Stole,COD,30.25
B-26053,120,1,1,Furniture,Chairs,COD,120.0
B-25951,120,23,5,Clothing,Stole,COD,24.0
B-25757,34,-11,5,Clothing,T-shirt,COD,6.8
B-25777,117,17,6,Clothing,Kurti,COD,19.5
B-26040,38,9,2,Clothing,Stole,COD,19.0
B-25696,117,-6,3,Electronics,Phones,COD,39.0
B-25977,180,54,4,Clothing,T-shirt,Credit Card,45.0
B-25743,99,-5,1,Clothing,Saree,UPI,99.0
B-25651,172,-103,3,Furniture,Chairs,EMI,57.333333333333336
B-25603,116,16,4,Clothing,Stole,COD,29.0
B-25696,116,-4,1,Clothing,Saree,COD,116.0
B-26037,171,68,7,Clothing,Stole,EMI,24.428571428571427
B-26098,46,14,5,Clothing,Skirt,COD,9.2
B-25697,115,-39,3,Clothing,Trousers,COD,38.333333333333336
B-25920,100,7,2,Clothing,T-shirt,UPI,50.0
B-25993,44,8,2,Clothing,Stole,COD,22.0
B-26089,139,14,3,Clothing,Kurti,COD,46.333333333333336
B-25960,171,-140,2,Furniture,Bookcases,EMI,85.5
B-25917,100,12,2,Clothing,T-shirt,UPI,50.0
B-25825,115,25,6,Clothing,Stole,COD,19.166666666666668
B-25696,168,-9,3,Clothing,Saree,COD,56.0
B-25972,115,47,2,Electronics,Accessories,COD,57.5
B-25602,168,-111,2,Electronics,Phones,EMI,84.0
B-25736,31,-7,5,Clothing,Skirt,UPI,6.2
B-26003,114,41,6,Furniture,Furnishings,COD,19.0
B-25970,111,9,4,Clothing,Stole,COD,27.75
B-25742,11,-8,2,Clothing,Skirt,UPI,5.5
B-25770,110,35,1,Furniture,Furnishings,COD,110.0
B-26098,59,15,2,Clothing,T-shirt,UPI,29.5
B-26050,166,27,2,Electronics,Accessories,EMI,83.0
B-25778,109,-6,6,Clothing,Saree,COD,18.166666666666668
B-25652,34,-6,4,Clothing,Leggings,COD,8.5
B-25999,109,40,1,Furniture,Furnishings,COD,109.0
B-25909,108,22,3,Electronics,Accessories,COD,36.0
B-25823,103,50,2,Furniture,Furnishings,UPI,51.5
B-25701,10,-8,2,Clothing,Skirt,COD,5.0
B-25855,90,17,3,Clothing,Hankerchief,COD,30.0
B-25654,105,46,2,Clothing,Stole,UPI,52.5
B-25623,105,20,2,Clothing,Stole,Debit Card,52.5
B-25641,22,-6,1,Furniture,Furnishings,COD,22.0
B-25852,105,-33,5,Clothing,Kurti,COD,21.0
B-25958,105,25,2,Clothing,Hankerchief,EMI,52.5
B-25802,25,-7,5,Clothing,Saree,UPI,5.0
B-25823,104,2,2,Furniture,Furnishings,COD,52.0
B-25834,16,5,1,Clothing,Stole,UPI,16.0
B-25678,64,-7,3,Clothing,Saree,COD,21.333333333333332
B-25774,38,-6,2,Furniture,Furnishings,UPI,19.0
B-25904,83,12,2,Furniture,Chairs,COD,41.5
B-25896,103,36,2,Clothing,Hankerchief,COD,51.5
B-25796,37,-6,1,Clothing,Saree,UPI,37.0
B-25934,105,33,6,Clothing,Saree,EMI,17.5
B-25750,78,-6,2,Furniture,Furnishings,UPI,39.0
B-25761,102,-90,1,Clothing,Saree,COD,102.0
B-25912,102,11,6,Clothing,T-shirt,COD,17.0
B-25751,10,-8,1,Clothing,Kurti,UPI,10.0
B-25656,101,18,9,Clothing,Skirt,COD,11.222222222222221
B-25647,42,-6,4,Clothing,Saree,UPI,10.5
B-25861,56,18,2,Clothing,Hankerchief,UPI,28.0
B-25802,95,5,2,Clothing,Stole,COD,47.5
B-25901,159,2,3,Furniture,Furnishings,EMI,53.0
B-25623,158,69,3,Clothing,Stole,EMI,52.666666666666664
B-25751,106,0,2,Electronics,Phones,EMI,53.0
B-26052,101,16,4,Clothing,T-shirt,COD,25.25
B-25886,107,37,3,Clothing,Shirt,COD,35.666666666666664
B-25804,156,36,5,Clothing,T-shirt,EMI,31.2
B-25734,108,-19,3,Electronics,Electronic Games,UPI,36.0
B-25610,107,-54,4,Clothing,Stole,EMI,26.75
B-25711,100,-58,4,Clothing,Hankerchief,COD,25.0
B-25985,108,26,4,Clothing,Shirt,UPI,27.0
B-25864,100,6,4,Clothing,Stole,COD,25.0
B-25648,100,-23,1,Electronics,Phones,COD,100.0
B-26086,43,17,2,Clothing,T-shirt,UPI,21.5
B-25835,155,26,3,Clothing,Stole,EMI,51.666666666666664
B-25949,151,9,3,Clothing,Hankerchief,EMI,50.333333333333336
B-25930,151,29,5,Clothing,Hankerchief,EMI,30.2
B-25655,110,-68,4,Clothing,Saree,EMI,27.5
B-25757,98,9,2,Furniture,Furnishings,COD,49.0
B-25655,97,-62,2,Clothing,Trousers,COD,48.5
B-26033,111,35,5,Clothing,Shirt,COD,22.2
B-26083,45,17,1,Electronics,Accessories,COD,45.0
B-25805,112,15,2,Furniture,Chairs,COD,56.0
B-25955,110,20,5,Clothing,Stole,Debit Card,22.0
B-25762,98,-5,2,Clothing,Saree,UPI,49.0
B-25919,110,12,7,Clothing,Stole,Debit Card,15.714285714285714
B-25853,95,11,4,Furniture,Furnishings,COD,23.75
B-25925,1228,14,3,Furniture,Chairs,UPI,409.3333333333333
B-26023,29,0,3,Furniture,Furnishings,COD,9.666666666666666
B-26055,94,27,2,Clothing,T-shirt,COD,47.0
B-25653,115,25,1,Electronics,Accessories,COD,115.0
B-25893,149,15,3,Clothing,Saree,EMI,49.666666666666664
B-26052,148,23,4,Clothing,Kurti,EMI,37.0
B-25830,93,15,2,Electronics,Accessories,COD,46.5
B-26040,113,24,4,Clothing,Hankerchief,Debit Card,28.25
B-25981,48,2,3,Clothing,Stole,COD,16.0
B-25954,148,9,1,Electronics,Electronic Games,UPI,148.0
B-25889,114,11,4,Clothing,T-shirt,Debit Card,28.5
B-25810,92,42,2,Clothing,Stole,COD,46.0
B-25637,117,14,3,Clothing,Shirt,UPI,39.0
B-25801,21,-10,4,Clothing,Leggings,COD,5.25
B-25783,33,-10,6,Clothing,Leggings,UPI,5.5
B-25697,114,8,3,Electronics,Accessories,Debit Card,38.0
B-26028,115,0,1,Electronics,Accessories,Debit Card,115.0
B-25851,90,29,5,Clothing,T-shirt,COD,18.0
B-25938,61,1,2,Furniture,Furnishings,COD,30.5
B-25820,119,1,1,Furniture,Chairs,COD,119.0
B-25850,117,36,2,Clothing,Trousers,Debit Card,58.5
B-25924,148,54,2,Furniture,Chairs,UPI,74.0
B-25609,249,-5,4,Clothing,Saree,COD,62.25
B-25898,147,73,3,Clothing,Stole,UPI,49.0
B-25814,118,35,7,Clothing,T-shirt,EMI,16.857142857142858
B-26087,119,56,7,Clothing,Saree,EMI,17.0
B-25901,90,27,2,Clothing,T-shirt,COD,45.0
B-26025,32,1,2,Clothing,Stole,COD,16.0
B-25631,89,-89,2,Furniture,Furnishings,COD,44.5
B-25954,146,66,1,Electronics,Phones,UPI,146.0
B-25956,89,-37,4,Clothing,Shirt,COD,22.25
